LEVEL,LOW,MED,HIGH,NAME
1,1x10,2x25,3x50,Плечи на полу
2,1x10,2x20,3x40,Складной нож
3,1x10,2x15,3x30,Присед с поддержкой
4,1x8,2x35,2x50,Полуприсед
5,1x5,2x10,2x30,Полный присед
6,1x5,2x10,2x20,Закрытый присед
7,1x5,2x10,2x20,Неравномерные приседания на 1 ногу
8,1x5,2x10,2x20,Половинные приседания на 1 ногу
9,1x5,2x10,2x20,Приседания с поддержкой на 1 ногу
10,1x5,2x10,2x50,Приседания на одной ноге
