LEVEL,LOW,MED,HIGH,NAME
1,1x10,2x25,3x40,Подтягивание колен к животу
2,1x10,2x20,3x35,Подъемы коленей лежа
3,1x10,2x15,3x30,Подъемы согнутых коленей лежа
4,1x8,2x15,3x25,Легушачьи подъемы лежа
5,1x5,2x10,2x20,Ровные прямые прдъемы ног
6,1x5,2x10,2x15,Подъем коленей из виса на перекладине
7,1x5,2x10,2x15,Подъем согнутых ног
8,1x5,2x10,2x15,Висячие подъемы лягушкой
9,1x5,2x10,2x15,Подъемы частично прямых ног
10,1x5,2x10,2x30,Подъем прямых ног в висе
