LEVEL,LOW,MED,HIGH,NAME
1,1x10,2x25,3x50,Короткий мост
2,1x10,2x25,3x40,Ровный мост
3,1x8,2x15,3x30,Мост под углом
4,1x8,2x15,2x25,Мост на голове
5,1x8,2x15,2x20,Половинный мост
6,1x6,2x10,2x15,Полный мост
7,1x3,2x6,2x10,Шагающий по стене мост (вниз)
8,1x2,2x4,2x8,Шагающий по стене мост (вверх)
9,1x1,2x3,2x6,Закрытый мост
10,1x1,2x3,2x30,Двухопорный мост
